Reaction Date,Reaction Type,Parent Type,Parent ID
"Aug 7, 2024, 7:02:19 PM",Kudos,Activity,12079943138
"Aug 7, 2024, 7:02:31 PM",Kudos,Activity,12079942991
"Aug 8, 2024, 9:10:33 PM",Kudos,Activity,12097800037
"Aug 10, 2024, 2:23:43 PM",Kudos,Activity,12111170799
"Aug 10, 2024, 2:24:06 PM",Kudos,Activity,12101624667
"Aug 10, 2024, 2:24:12 PM",Kudos,Activity,12107913101
"Aug 10, 2024, 2:24:22 PM",Kudos,Activity,12104620312
"Aug 12, 2024, 11:07:30 AM",Kudos,Activity,12125535516
"Aug 12, 2024, 11:07:37 AM",Kudos,Activity,12121485690
"Aug 12, 2024, 7:44:58 PM",Kudos,Activity,12130211988
"Aug 15, 2024, 6:02:09 PM",Kudos,Activity,12148652800
"Aug 15, 2024, 6:02:17 PM",Kudos,Activity,12144087036
"Aug 15, 2024, 6:02:39 PM",Kudos,Activity,12133890243
"Aug 15, 2024, 6:02:45 PM",Kudos,Activity,12136969054
"Aug 15, 2024, 6:03:07 PM",Kudos,Activity,12143721486
"Aug 18, 2024, 2:53:44 PM",Kudos,Activity,12180052439
"Aug 25, 2024, 9:15:49 PM",Kudos,Activity,12227910480
"Aug 25, 2024, 9:17:05 PM",Kudos,Activity,12207855966
"Aug 25, 2024, 9:17:34 PM",Kudos,Activity,12187585915
"Sep 4, 2024, 8:38:44 AM",Kudos,Activity,12308380152
"Sep 4, 2024, 8:38:52 AM",Kudos,Activity,12287211930
"Sep 4, 2024, 8:38:58 AM",Kudos,Activity,12267844940
"Sep 4, 2024, 8:39:00 AM",Kudos,Activity,12247463256
"Sep 4, 2024, 8:39:21 AM",Kudos,Activity,12316379835
"Sep 4, 2024, 8:39:40 AM",Kudos,Activity,12249889629
"Sep 6, 2024, 4:18:59 PM",Kudos,Activity,12341730331
"Sep 6, 2024, 4:19:12 PM",Kudos,Activity,12334562616
"Sep 6, 2024, 4:19:25 PM",Kudos,Activity,12336032575
"Sep 7, 2024, 10:52:52 AM",Kudos,Activity,12347142484
"Sep 9, 2024, 7:58:38 PM",Kudos,Activity,12356804028
"Sep 9, 2024, 7:58:49 PM",Kudos,Activity,12357441697
"Sep 15, 2024, 3:53:20 PM",Kudos,Activity,12405517630
"Sep 17, 2024, 1:10:33 PM",Kudos,Activity,12426392266
"Sep 17, 2024, 6:36:54 PM",Kudos,Activity,12435216993
"Sep 19, 2024, 7:51:26 AM",Kudos,Activity,12442002284
"Sep 22, 2024, 4:46:30 PM",Kudos,Activity,12474754904
"Sep 22, 2024, 4:47:00 PM",Kudos,Activity,12452989379
"Sep 22, 2024, 4:47:02 PM",Kudos,Activity,12450855772
"Sep 22, 2024, 4:47:13 PM",Kudos,Activity,12474417353
"Sep 27, 2024, 12:09:32 PM",Kudos,Activity,12485183447
"Sep 27, 2024, 12:09:33 PM",Kudos,Activity,12464906461
"Sep 27, 2024, 12:09:42 PM",Kudos,Activity,12501964388
"Sep 27, 2024, 12:09:46 PM",Kudos,Activity,12485179408
"Sep 27, 2024, 12:09:49 PM",Kudos,Activity,12452989706
"Sep 27, 2024, 12:09:58 PM",Kudos,Activity,12483245892
"Sep 28, 2024, 2:53:07 PM",Kudos,Activity,12523856268
"Sep 28, 2024, 2:53:11 PM",Kudos,Activity,12523832403
"Sep 28, 2024, 2:53:20 PM",Kudos,Activity,12513326666
"Sep 28, 2024, 2:53:22 PM",Kudos,Activity,12511147138
"Sep 28, 2024, 2:53:24 PM",Kudos,Activity,12503028606
"Sep 30, 2024, 3:25:41 PM",Kudos,Activity,12530210737
"Oct 6, 2024, 9:56:32 AM",Kudos,Activity,12562181396
"Oct 6, 2024, 9:56:36 AM",Kudos,Activity,12574133372
"Oct 6, 2024, 9:56:49 AM",Kudos,Activity,12550448646
"Oct 6, 2024, 9:56:51 AM",Kudos,Activity,12559417108
"Oct 6, 2024, 9:56:59 AM",Kudos,Activity,12549161743
"Oct 6, 2024, 1:19:23 PM",Kudos,Activity,12589296471
"Oct 6, 2024, 6:06:26 PM",Kudos,Activity,12571435297
"Oct 8, 2024, 6:31:37 PM",Kudos,Activity,12607945722
"Oct 15, 2024, 6:27:07 PM",Kudos,Activity,12662063277
"Oct 15, 2024, 6:27:18 PM",Kudos,Activity,12647549771
"Oct 15, 2024, 6:27:22 PM",Kudos,Activity,12627947104
"Oct 15, 2024, 6:27:38 PM",Kudos,Activity,12627037328
"Oct 15, 2024, 6:27:44 PM",Kudos,Activity,12654557828
"Oct 15, 2024, 6:27:46 PM",Kudos,Activity,12607125997
"Oct 15, 2024, 6:28:05 PM",Kudos,Activity,12605362016
"Oct 19, 2024, 8:13:46 AM",Kudos,Activity,12684020355
"Oct 19, 2024, 8:13:58 AM",Kudos,Activity,12669551810
"Oct 19, 2024, 8:14:06 AM",Kudos,Activity,12668826605
"Oct 19, 2024, 8:14:09 AM",Kudos,Activity,12679773386
"Oct 30, 2024, 9:33:58 AM",Kudos,Activity,12766505593
"Oct 30, 2024, 9:34:13 AM",Kudos,Activity,12757294453
"Oct 30, 2024, 9:34:25 AM",Kudos,Activity,12766505060
"Oct 30, 2024, 9:34:28 AM",Kudos,Activity,12741678707
"Nov 10, 2024, 1:29:10 PM",Kudos,Activity,12821585506
"Nov 10, 2024, 1:29:17 PM",Kudos,Activity,12852341528
"Nov 10, 2024, 1:29:22 PM",Kudos,Activity,12801684084
"Nov 15, 2024, 12:00:25 PM",Kudos,Activity,12884889782
"May 24, 2024, 8:21:29 AM",Like,Comment,1810633140
"Jun 18, 2024, 7:10:42 AM",Like,Comment,1832973118
"Jun 24, 2024, 8:44:25 PM",Like,Comment,1838598991
"Jun 25, 2024, 4:19:25 PM",Like,Comment,1839137112
"Sep 12, 2024, 12:48:30 PM",Like,Comment,1908054596
